Title,Quantity,Total
"Butter Chicken",679.00,12215.2100
"Naan - Garlic",1130.00,4508.7000
"Chicken Tikka Masala",143.00,2572.5700
"Rice - Coconut",277.00,2490.2300
"Mango Chicken",111.00,1996.8900
"Rice - Saffron",221.00,1986.7900
"Rice - Steamed",246.00,1965.5400
"Chicken Korma",105.00,1888.9500
"Samosa Plate (2 Pcs)",295.00,1767.0500
"Dal Makhani",120.00,1678.8000
"Lamb - Curry",92.00,1655.0800
"Naan - Butter",548.00,1638.5200
"Chicken Vindaloo",91.00,1637.0900
"Pakora - Fish",117.00,1519.8300
"Tandoori Roti",471.00,1408.2900
"Paneer Butter Masala",86.00,1375.1400
"Mix Veggie Korma",90.00,1349.1000
"Lamb - Vindaloo",71.00,1348.2900
"Aloo Gobi",89.00,1334.1100
"Palak Paneer",81.00,1295.1900
"Biryani - Chicken",81.00,1295.1900
"Lunch Combo - Non Veg",62.00,1275.0000
"Naan - Plain",480.00,1195.2000
"Hakka Noodles - Veg",98.00,1175.0200
"Pakora - Veg",113.00,1128.8700
"Chole Bhatura (2 Pcs)",82.00,1080.1300
"Chana Masala",71.00,1064.2900
"Manchurian - Veg",95.00,1044.0500
"Paneer Tikka Masala",65.00,1039.3500
Samosa,522.00,1038.7800
"Malai Kofta",59.00,943.4100
"Extra charge for Tikka ",97.00,939.4800
"Karahi Panner",58.00,927.4200
"Lassi - Mango",149.00,892.5100
"Momos  (8 Pcs) - Veg",63.00,692.3700
"Shahi Paneer",40.00,639.6000
"Dal Tadka (Yellow Dal)",45.00,629.5500
"Biryani - Lamb",34.00,611.6600
"Amritsari Kulcha (2 Pcs)",50.00,581.4700
"Biryani - Vegetable",40.00,559.6000
"Chilli - Chicken",40.00,559.6000
"Hakka Noodles - Chicken",40.00,559.6000
"Paneer Tikka",40.00,559.6000
"Lamb - Korma",31.00,557.6900
"Shrimp Masala",29.00,550.7100
"Papri Chaat",66.00,527.3400
"Fish Tikka",28.00,503.7200
"Samosa Chaat ",56.00,503.4400
"Chicken Tikka",28.00,475.7200
"Lunch Combo - Veg",27.00,472.5900
